Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
BRILLO LISO 5,,BRILLO LISO 2,8.0,148.0,700.0,0.0,,,,148.0,
,,BRILLO LISO 3,12.0,0.0,1100.0,0.0,,,,0.0,
BRILLO LISO 4,,BRILLO LISO 4,41.0,167.0,850.0,0.0,,,,167.0,
,,BRILLO LISO 5,0.0,0.0,1200.0,0.0,,,,0.0,
,,BRILLO LISO 6,0.0,0.0,1300.0,0.0,,,,0.0,
,,BRILLO LISO 7,3.0,0.0,1400.0,0.0,,,,0.0,
,,BRILLO LISO 8,28.0,0.0,1800.0,0.0,,,,0.0,
,,BRILLO LISO DIOR,0.0,0.0,950.0,0.0,,,,0.0,
BROCHA BASE,,BROCHA BASE,0.0,130.0,950.0,0.0,,,,130.0,
,,BROCHAS 1,0.0,0.0,250.0,0.0,,,,0.0,
,,BROCHAS 2,0.0,0.0,500.0,0.0,,,,0.0,
,,BROCHAS 3,0.0,0.0,750.0,0.0,,,,0.0,
,,BROCHAS 4D,5.0,0.0,600.0,0.0,,,,0.0,
BUFANDA ADULTO,,BUFANDA ADULTO,0.0,215.0,950.0,1.0,,,,215.0,
,,BÁLSAMO 1,0.0,0.0,500.0,0.0,,,,0.0,
,,BÁLSAMO 2,0.0,0.0,550.0,0.0,,,,0.0,
BÁLSAMO,,BÁLSAMO 3,36.0,120.0,600.0,0.0,,,,120.0,
BÁLSAMO 2,,BÁLSAMO 4,12.0,195.0,700.0,0.0,,,,195.0,
,,BÁLSAMO 5,0.0,0.0,850.0,0.0,,,,0.0,
,,BÁLSAMO 6,18.0,0.0,1100.0,0.0,,,,0.0,
,,BÁLSAMO 7,23.0,0.0,800.0,0.0,,,,0.0,
,,BÁLSAMO 8,6.0,0.0,1050.0,0.0,,,,0.0,
,,BÁLSAMO DIOR 1,18.0,0.0,1200.0,0.0,,,,0.0,
,,BÁLSAMO DIOR 2,12.0,0.0,1800.0,0.0,,,,0.0,
CADENA 1,,CADENA 1,0.0,521.0,1500.0,0.0,,,,521.0,
CADENA 2,,CADENA ACERO,0.0,1303.0,2000.0,0.0,,,,1303.0,
,,CADENA MUJER,0.0,0.0,2500.0,0.0,,,,0.0,
,,CAJA PLUMONES,0.0,0.0,18250.0,0.0,,,,0.0,
CALZONCILLO H,,CALZONCILLO H,0.0,208.0,750.0,0.0,,,,208.0,
CAMA PERRO CHICA,,CAMA PERRO CHICA,0.0,1800.0,4600.0,0.0,,,,1800.0,
CAMA PERRO MED,,CAMA PERRO MED,0.0,2100.0,4800.0,0.0,,,,2100.0,
,,CARABELA MINI,30.0,0.0,500.0,0.0,,,,0.0,
CARRITOS,,CARRITOS,0.0,0.0,500.0,0.0,,,,0.0,
CARTAS,,CARTAS,0.0,240.0,850.0,1.0,,,,240.0,
CARTERA DE NIÑA,,CARTERA DE NIÑA,0.0,1800.0,3600.0,0.0,,,,1800.0,
CARTERA H 1,,CARTERA H 1,0.0,2866.0,10500.0,0.0,,,,2866.0,
CARTERA H CHICA,,CARTERA H CHICA 1,0.0,1112.0,3500.0,0.0,,,,1134.88,
,,CARTERA H CHICA 2,0.0,0.0,5850.0,0.0,,,,0.0,
CARTERA H DANIEL,,CARTERA H DANIEL,0.0,1100.0,3500.0,1.0,,,,1100.0,
CARTERA H GRANDE,,CARTERA H GRANDE,0.0,1778.0,7000.0,0.0,,,,1778.0,
CARTERA H MED,,CARTERA H MED,0.0,1334.0,6000.0,0.0,,,,1334.0,
CARTERA H NUEVA,,CARTERA H NUEVA,6.0,2223.0,10800.0,0.0,,,,2221.43,
CARTERA H NUEVA CHICA,,CARTERA H NUEVA CHICA,0.0,2223.0,9500.0,0.0,,,,2223.0,
,,CARTERA H NUEVA CHICA 2,12.0,0.0,13500.0,0.0,,,,0.0,
CARTERA H NUEVA GRANDE,,CARTERA H NUEVA GRANDE,0.0,5556.0,18000.0,0.0,,,,5556.0,
CARTERA H NUEVA MED,,CARTERA H NUEVA MED,0.0,3334.0,14000.0,0.0,,,,3334.0,
,,CARTERA H NUEVA MEDIANA 2,6.0,0.0,18500.0,0.0,,,,0.0,
CARTERA H 2,,CARTERA HOMBRE 2,0.0,4821.0,17000.0,0.0,,,,4821.0,
CARTERA M GRANDE 1,,CARTERA M GRANDE 1,1.0,2223.0,10500.0,0.0,,,,2223.0,
CARTERA MUJER,,CARTERA MUJER,0.0,2223.0,9500.0,0.0,,,,2223.0,
,,CARTERA MUJER 2,0.0,0.0,7500.0,0.0,,,,0.0,
,,CARTERA MUJER ELEGANTE,0.0,0.0,14500.0,0.0,,,,0.0,
,,CARTERA MUJER GRANDE 2,0.0,0.0,8000.0,0.0,,,,0.0,
,,CARTERA MUJER GRANDE 3,1.0,0.0,13500.0,0.0,,,,0.0,
CARTERA SALIR GRANDE 2,,CARTERA SALIR GRANDE 2,0.0,4667.0,16500.0,0.0,,,,4667.0,
CARTERITA AGUACATE,,CARTERITA AGUACATE,0.0,350.0,1200.0,0.0,,,,350.0,
CARTERITA CELULAR 1,,CARTERITA CELULAR 1,0.0,1100.0,3000.0,1.0,,,,1100.0,
CARTERITA CELULAR 2,,CARTERITA CELULAR 2,0.0,610.0,2500.0,0.0,,,,610.0,
,,CARTERITA MUJER,0.0,0.0,5000.0,0.0,,,,0.0,
CARTERITA PELUSA,,CARTERITA PELUSA,0.0,94.0,350.0,0.0,,,,94.0,
CARTERITA POPIT,,CARTERITA POPIT 1,0.0,704.0,2500.0,1.0,,,,704.0,
,,CARTERITA POPIT 2,1.0,0.0,4500.0,0.0,,,,0.0,
,,CARTERITA POPIT 3,0.0,0.0,5000.0,0.0,,,,0.0,
,,CARTERITA UNICORNIO,0.0,0.0,3800.0,0.0,,,,0.0,
,,CARTERITAS LAZO,0.0,0.0,3500.0,0.0,,,,0.0,
CARTUCHERA,,CARTUCHERA,0.0,148.0,850.0,0.0,,,,148.0,
CARTUCHERA 3D,,CARTUCHERA 3D,0.0,556.0,2500.0,0.0,,,,556.0,
CEPILLO LAVAR,,CEPILLO LAVAR,0.0,170.0,600.0,0.0,,,,170.0,
CESTOS,,CESTOS,0.0,302.0,1200.0,0.0,,,,302.0,
CHANCLETA DE NIÑO,,CHANCLETA DE NIÑO,0.0,872.0,3000.0,0.0,,,,872.0,
,,CINTA ADVERTENCIA,1.0,0.0,2300.0,0.0,,,,0.0,
,,CINTA CABEZA,0.0,0.0,1200.0,0.0,,,,0.0,
CINTA PELO CHICA,,CINTA PELO CHICA,0.0,74.0,400.0,0.0,,,,74.0,
CINTA PELO GRANDE,,CINTA PELO GRANDE,0.0,93.0,1600.0,0.0,,,,93.0,
,,CINTA PELO MEDIANA,0.0,0.0,550.0,0.0,,,,0.0,
CINTILLO 2,,CINTILLO 2,0.0,290.0,950.0,3.0,,,,290.0,
,,CINTILLO 4,0.0,0.0,1200.0,0.0,,,,0.0,
,,CINTILLO 6,0.0,0.0,2000.0,0.0,,,,0.0,
,,CINTILLO 7,18.0,0.0,600.0,0.0,,,,0.0,
CINTILLO HOLLOWEEN,,CINTILLO HOLLOWEEN,0.0,93.0,550.0,0.0,,,,93.0,
,,CINTILLO MAQ 2,0.0,0.0,1500.0,0.0,,,,0.0,
,,CINTILLO NAV,0.0,0.0,1000.0,0.0,,,,0.0,
,,CINTILLOS 1,0.0,0.0,750.0,0.0,,,,0.0,
,,CINTILLOS 3,0.0,0.0,1000.0,0.0,,,,0.0,
,,CINTILLOS 5,9.0,0.0,1500.0,0.0,,,,0.0,
,,CINTO MUJER,0.0,0.0,2000.0,0.0,,,,0.0,
COLADERA CHICA,,COLADERA CHICA,0.0,300.0,500.0,1.0,,,,300.0,
COLADERA GRANDE,,COLADERA GRANDE,0.0,300.0,1800.0,1.0,,,,300.0,
COLADERA MED,,COLADERA MED,0.0,300.0,950.0,0.0,,,,300.0,
COLGANTE CELULAR,,COLGANTE CELULAR,0.0,608.0,1000.0,0.0,,,,608.0,
,,COLLAR MASCOTA,0.0,0.0,1100.0,0.0,,,,0.0,
COLLAR PERRO,,COLLAR PERRO,0.0,238.0,950.0,0.0,,,,238.0,
COLLAR PERRO CHICO,,COLLAR PERRO CHICO,0.0,400.0,1150.0,0.0,,,,400.0,
COLLAR PERRO GRANDE,,COLLAR PERRO GRANDE,0.0,600.0,1500.0,0.0,,,,600.0,
COMEDERO PERRO,,COMEDERO PERRO,0.0,300.0,700.0,0.0,,,,300.0,
COMPACTO,,COMPACTO,0.0,866.0,1500.0,0.0,,,,866.0,
CONDONES,,CONDONES,0.0,15.0,50.0,0.0,,,,15.0,
COQUITO,,COQUITO 1,0.0,260.0,900.0,0.0,,,,260.0,
,,COQUITOS 2,0.0,0.0,1200.0,0.0,,,,0.0,
CORRECTOR OJERA CHICO,,CORRECTOR OJERA CHICO,0.0,93.0,850.0,0.0,,,,93.0,
,,CORRECTOR OJERA GRANDE,40.0,0.0,1300.0,0.0,,,,0.0,
,,CORRECTOR OJERA MED,0.0,0.0,650.0,0.0,,,,0.0,
,,CORTAUÑAS,0.0,0.0,400.0,0.0,,,,0.0,
,,COSMETIQUERA CHICA,0.0,0.0,1100.0,0.0,,,,0.0,
,,COSMETIQUERA GRANDE,0.0,0.0,2500.0,0.0,,,,0.0,
,,COSMETIQUERA MEDIANA,0.0,0.0,2200.0,0.0,,,,0.0,
CREMA FACIAL,,CREMA FACIAL,0.0,645.0,2500.0,0.0,,,,645.0,
CREMA FACIAL ACLARANTE,,CREMA FACIAL ACLARANTE,0.0,556.0,2500.0,0.0,,,,556.0,
,,CREMA FACIAL CHICA,0.0,0.0,2000.0,0.0,,,,0.0,
,,CREMA PIES,0.0,0.0,1500.0,0.0,,,,0.0,
,,CREYON,0.0,0.0,950.0,0.0,,,,0.0,
CREYON,,CREYON 1,0.0,181.0,650.0,0.0,,,,181.0,
,,CREYON 2,0.0,0.0,700.0,0.0,,,,0.0,
,,CREYON 3,0.0,0.0,850.0,0.0,,,,0.0,
,,CREYON DIOR,6.0,0.0,1200.0,0.0,,,,0.0,
CREYON HOLLOWEEN,,CREYON HOLLOWEEN,12.0,139.0,550.0,0.0,,,,139.0,
CREYON PERM 1,,CREYON PERM 1,12.0,181.0,700.0,0.0,,,,181.0,
CREYON PERM 2,,CREYON PERM 2,0.0,181.0,800.0,0.0,,,,181.0,
CREYON PERM DOBLE,,CREYON PERM DOBLE,0.0,195.0,950.0,0.0,,,,195.0,
,,CREYON PERMANENTE 3,12.0,0.0,1200.0,0.0,,,,0.0,
,,CREYON PERMANENTE DIOR 1,6.0,0.0,1200.0,0.0,,,,0.0,
,,CREYON PERMANENTE DIOR 2,12.0,0.0,1500.0,0.0,,,,0.0,
,,CREYON PERMANT 3,0.0,0.0,900.0,0.0,,,,0.0,
,,CUADRITO DIAMANTE,0.0,0.0,1500.0,0.0,,,,0.0,
,,CUBITOS,24.0,0.0,800.0,0.0,,,,0.0,
CUBO RUBI,,CUBO RUBI,56.0,556.0,3500.0,0.0,,,,556.0,
CUCHILLO,,CUCHILLO,0.0,145.0,500.0,0.0,,,,145.0,
CÁPSULA FACIAL,,CÁPSULA FACIAL,4.0,445.0,2300.0,0.0,,,,445.0,
,,CÁPSULAS PELO,0.0,0.0,3200.0,0.0,,,,0.0,
DELINEADOR 2,,DELINEADOR 2,6.0,70.0,650.0,0.0,,,,70.0,
,,DELINEADOR LABIOS,0.0,0.0,400.0,0.0,,,,0.0,
DELINEADOR PLUMÓN,,DELINEADOR PLUMÓN,0.0,232.0,850.0,1.0,,,,232.0,
DELINEADOR PLUMÓN REBAJA,,DELINEADOR PLUMÓN REBAJA,0.0,148.0,200.0,2.0,,,,145.78,
,,DIJE MOVIL,0.0,0.0,600.0,0.0,,,,0.0,
,,DUENDE NAV,0.0,0.0,6300.0,0.0,,,,0.0,
,,ENCENDEDORES,0.0,0.0,550.0,0.0,,,,0.0,
ENGUATADA H,,ENGUATADA H,0.0,0.0,2500.0,0.0,,,,0.0,
ESCLAVA,,ESCLAVA,0.0,535.0,2000.0,0.0,,,,535.0,
ESCOBAS,,ESCOBAS,0.0,349.0,1100.0,0.0,,,,349.0,
,,ESPEJO CEJAS,0.0,0.0,650.0,0.0,,,,0.0,
,,ESPEJUELOS TRANSPARENTES,0.0,0.0,2500.0,0.0,,,,0.0,
ESPONJA ALUMINIO,,ESPONJA ALUMINIO,0.0,62.5,250.0,0.0,,,,62.5,
ESPONJA BAÑO,,ESPONJA BAÑO,0.0,144.0,500.0,0.0,,,,144.0,
ESPONJA FREGAR,,ESPONJA FREGAR,0.0,70.0,150.0,0.0,,,,70.0,
ESPONJA MAQUILLAJE,,ESPONJA MAQUILLAJE,0.0,22.0,300.0,1.0,,,,22.0,
ESPONJITA,,ESPONJITA,0.0,100.0,350.0,0.0,,,,100.0,
,,ESQUELETOS,1.0,0.0,3500.0,0.0,,,,0.0,
,,ESTUCHE ESPEJUELOS,0.0,0.0,1500.0,0.0,,,,0.0,
ESTUCHE MAQ GRANDE,,ESTUCHE MAQ GRANDE,0.0,667.0,2500.0,0.0,,,,667.0,
EXFOLIANTE,,EXFOLIANTE,0.0,415.0,1500.0,0.0,,,,415.0,
