Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
BRILLO LISO 4,,BRILLO LISO 4,7.0,217.0,1200.0,1.0,,,,203.79,
BRILLO LISO 5,,BRILLO LISO 5,4.0,213.0,950.0,1.0,,,,213.0,
,,BRILLO LISO 6,6.0,0.0,600.0,0.0,,,,0.0,
,,BRILLO LISO 7,2.0,260.0,900.0,0.0,,,,260.0,
,,BROCHA 4D,0.0,0.0,600.0,0.0,,,,0.0,
BROCHA BASE,,BROCHA BASE,1.0,0.0,950.0,0.0,,,,0.0,
,,BROCHA MAQ 1,0.0,0.0,250.0,0.0,,,,0.0,
BROCHA MAQ CHICA,,BROCHA MAQ 2,26.0,0.0,500.0,2.0,,,,0.0,
,,BROCHA MAQ 3,0.0,0.0,750.0,0.0,,,,0.0,
BROCHA MAQ MED,,BROCHA MAQ MED,0.0,0.0,300.0,1.0,,,,0.0,
BUFANDA ADULTO,,BUFANDA ADULTO,0.0,0.0,950.0,1.0,,,,0.0,
BUFANDA DE NIÑO,,BUFANDA DE NIÑO,0.0,0.0,1500.0,1.0,,,,0.0,
,,BÁLSAMO 1,13.0,0.0,800.0,0.0,,,,0.0,
BÁLSAMO VIEJO,,BÁLSAMO 2,3.0,0.0,1050.0,0.0,,,,0.0,
BÁLSAMO,,BÁLSAMO 3,13.0,0.0,600.0,2.0,,,,0.0,
BÁLSAMO 1,,BÁLSAMO 4,15.0,0.0,1100.0,0.0,,,,0.0,
,,BÁLSAMO 5,0.0,0.0,850.0,0.0,,,,0.0,
,,BÁLSAMO DIOR,5.0,0.0,1800.0,0.0,,,,0.0,
CADENA 1,,CADENA 1,0.0,521.0,1500.0,0.0,,,,521.0,
CADENA 2,,CADENA 2,0.0,1303.0,3500.0,0.0,,,,1303.0,
,,CADENA MUJER,0.0,0.0,2500.0,0.0,,,,0.0,
CALZONCILLO DE H,,CALZONCILLO DE H,0.0,0.0,900.0,0.0,,,,0.0,
CAMA PERRO CHICA,,CAMA PERRO CHICA,0.0,0.0,4600.0,0.0,,,,0.0,
CAMA PERRO MED,,CAMA PERRO MED,0.0,0.0,4800.0,0.0,,,,0.0,
,,CAPSULA PELO,1.0,0.0,3200.0,0.0,,,,0.0,
,,CARABELA MINI,0.0,0.0,500.0,0.0,,,,0.0,
CARRITOS,,CARRITOS,18.0,0.0,500.0,0.0,,,,0.0,
CARTAS,,CARTAS,0.0,0.0,850.0,1.0,,,,0.0,
CARTERA DE NIÑA,,CARTERA DE NIÑA,0.0,0.0,3600.0,0.0,,,,0.0,
CARTERA H 1,,CARTERA H 1,0.0,2866.0,10500.0,0.0,,,,2866.0,
CARTERA H 2,,CARTERA H 2,0.0,4821.0,17000.0,0.0,,,,4821.0,
CARTERA H CHICA,,CARTERA H CHICA 2,1.0,0.0,5850.0,1.0,,,,0.0,
CARTERA H DANIEL,,CARTERA H DANIEL,0.0,0.0,4500.0,1.0,,,,0.0,
CARTERA H GRANDE,,CARTERA H GRANDE,0.0,2223.0,7000.0,1.0,,,,2223.0,
CARTERA H MED,,CARTERA H MED,1.0,1778.0,6000.0,0.0,,,,1778.0,
CARTERA H NUEVA,,CARTERA H NUEVA,3.0,0.0,10800.0,1.0,,,,0.0,
CARTERA H NUEVA CHICA,,CARTERA H NUEVA CHICA,3.0,0.0,13500.0,1.0,,,,0.0,
CARTERA H NUEVA GRANDE,,CARTERA H NUEVA GRANDE,4.0,0.0,18500.0,1.0,,,,0.0,
CARTERA H NUEVA MED,,CARTERA H NUEVA MED,0.0,0.0,18500.0,1.0,,,,0.0,
,,CARTERA H REBAJA,1.0,0.0,8000.0,0.0,,,,0.0,
,,CARTERA HOMBRE CHICA 1,2.0,0.0,3500.0,0.0,,,,0.0,
CARTERA M GRANDE,,CARTERA M GRANDE,2.0,0.0,10500.0,0.0,,,,0.0,
CARTERA M GRANDE 2,,CARTERA M GRANDE 2,0.0,2223.0,8000.0,1.0,,,,741.0,
CARTERA M GRANDE 3,,CARTERA M GRANDE 3,5.0,0.0,13500.0,0.0,,,,0.0,
CARTERA M GRANDE 4,,CARTERA M GRANDE 4,0.0,3648.0,13500.0,0.0,,,,3648.0,
,,CARTERA M GRANDE SALIR,0.0,0.0,16500.0,0.0,,,,0.0,
CARTERA M MED DANIEL,,CARTERA M MED DANIEL,0.0,0.0,1500.0,0.0,,,,0.0,
,,CARTERA MUJER,0.0,0.0,7500.0,0.0,,,,0.0,
CARTERA SALIR 2,,CARTERA MUJER ELEGANTE,0.0,4951.0,14500.0,0.0,,,,4951.0,
,,CARTERA MUJER REBAJA,1.0,0.0,5000.0,0.0,,,,0.0,
CARTERA SALIR 3,,CARTERA SALIR 3,0.0,5733.0,16000.0,0.0,,,,5733.0,
CARTERA SALIR 1,,CARTERA SALIR REBAJA,1.0,0.0,8500.0,0.0,,,,0.0,
CARTERITA AGUACATE,,CARTERITA AGUACATE,0.0,0.0,1200.0,1.0,,,,0.0,
CARTERITA CELULAR 1,,CARTERITA CELULAR 1,0.0,0.0,1800.0,1.0,,,,0.0,
CARTERITA CELULAR 2,,CARTERITA CELULAR 2,0.0,0.0,2500.0,1.0,,,,0.0,
,,CARTERITA MUJER,1.0,0.0,5000.0,0.0,,,,0.0,
CARTERITA PELUSA,,CARTERITA PELUSA,0.0,0.0,350.0,2.0,,,,0.0,
CARTERITA POPIT,,CARTERITA POPIT 1,0.0,0.0,2500.0,1.0,,,,0.0,
,,CARTERITA POPIT 2,3.0,0.0,4500.0,0.0,,,,0.0,
,,CARTERITA POPIT 3,5.0,0.0,5000.0,0.0,,,,0.0,
,,CARTERITA UNICORNIO,1.0,0.0,3800.0,0.0,,,,0.0,
,,CARTERITAS LAZO,0.0,0.0,3500.0,0.0,,,,0.0,
CARTUCHERA,,CARTUCHERA,9.0,148.0,850.0,0.0,,,,148.0,
CARTUCHERA 3D,,CARTUCHERA 3D,0.0,556.0,2500.0,1.0,,,,556.0,
CEPILLO DE DIENTES,,CEPILLO DE DIENTES,0.0,0.0,400.0,2.0,,,,0.0,
CEPILLO LAVAR,,CEPILLO LAVAR,0.0,0.0,600.0,0.0,,,,0.0,
CESTOS,,CESTOS,0.0,0.0,1500.0,0.0,,,,0.0,
CHAPITA MANGA,,CHAPITA MANGA,0.0,0.0,400.0,3.0,,,,0.0,
,,CINTA ADVERTENCIA,0.0,0.0,2300.0,0.0,,,,0.0,
,,CINTA CABEZA,0.0,0.0,1200.0,0.0,,,,0.0,
CINTA PELO CHICA,,CINTA PELO CHICA,0.0,74.0,400.0,0.0,,,,74.0,
CINTA PELO GRANDE,,CINTA PELO GRANDE,7.0,93.0,650.0,0.0,,,,93.0,
,,CINTA PELO MEDIANA,11.0,0.0,550.0,0.0,,,,0.0,
CINTILLO 1,,CINTILLO 1,4.0,0.0,600.0,1.0,,,,0.0,
,,CINTILLO 2,3.0,0.0,750.0,0.0,,,,0.0,
,,CINTILLO 5,1.0,0.0,1000.0,0.0,,,,0.0,
CINTILLO HOLLOWEEN,,CINTILLO HOLLOWEEN,0.0,0.0,550.0,0.0,,,,0.0,
CINTILLO MAQUILLAJE,,CINTILLO MAQUILLAJE,1.0,0.0,1500.0,0.0,,,,0.0,
CINTILLO NAV,,CINTILLO NAV,1.0,0.0,1000.0,0.0,,,,0.0,
,,CINTILLO REBAJA,1.0,0.0,500.0,0.0,,,,0.0,
CINTILLO 2,,CINTILLOS 3,0.0,0.0,900.0,3.0,,,,0.0,
CINTILLO 6,,CINTILLOS 4,19.0,238.0,950.0,0.0,,,,238.0,
,,CINTILLOS 6,8.0,0.0,1500.0,0.0,,,,0.0,
,,CINTILLOS 7,2.0,0.0,1200.0,0.0,,,,0.0,
,,CINTILLOS 8,7.0,0.0,2000.0,0.0,,,,0.0,
,,CINTO MUJER,2.0,0.0,2000.0,0.0,,,,0.0,
COLADERA CHICA,,COLADERA CHICA,1.0,0.0,650.0,0.0,,,,0.0,
COLADERA GRANDE,,COLADERA GRANDE,0.0,0.0,1800.0,1.0,,,,0.0,
COLADERA MED,,COLADERA MED,0.0,0.0,1200.0,1.0,,,,0.0,
COLGANTE CELULAR,,COLGANTE CELULAR,1.0,0.0,500.0,0.0,,,,0.0,
,,COLLAR MASCOTA,3.0,0.0,1100.0,0.0,,,,0.0,
COLLAR PERRO 1,,COLLAR PERRO 1,2.0,238.0,450.0,0.0,,,,238.0,
COLLAR PERRO CHICO,,COLLAR PERRO CHICO,0.0,0.0,600.0,1.0,,,,0.0,
COLLAR PERRO GRAND,,COLLAR PERRO GRAND,0.0,0.0,1950.0,1.0,,,,0.0,
,,COMPACTO 1,0.0,0.0,1100.0,0.0,,,,0.0,
COMPACTO,,COMPACTO 2,0.0,866.0,2500.0,0.0,,,,502.43,
COQUITO,,COQUITOS 1,0.0,260.0,900.0,2.0,,,,130.0,
,,COQUITOS 2,0.0,0.0,500.0,0.0,,,,0.0,
,,CORRECTOR OJERA CHICO,0.0,0.0,850.0,0.0,,,,0.0,
CORRECTOR OJERA GRANDE,,CORRECTOR OJERA GRANDE,11.0,232.0,1300.0,0.0,,,,232.0,
,,CORRECTOR OJERA MED,1.0,0.0,650.0,0.0,,,,0.0,
CORRECTOR OJERA MINI,,CORRECTOR OJERA MINI,0.0,0.0,550.0,1.0,,,,0.0,
CORTAÚÑAS,,CORTAÚÑAS,0.0,0.0,400.0,0.0,,,,0.0,
CORTINA BAÑO,,CORTINA BAÑO,0.0,0.0,2100.0,1.0,,,,0.0,
,,COSMETIQUERA 1,3.0,0.0,5500.0,0.0,,,,0.0,
,,COSMETIQUERA 2,3.0,0.0,3500.0,0.0,,,,0.0,
,,COSMETIQUERA CHICA,1.0,0.0,1100.0,0.0,,,,0.0,
,,COSMETIQUERA GRANDE,0.0,0.0,2500.0,0.0,,,,0.0,
,,COSMETIQUERA MED,0.0,0.0,2200.0,0.0,,,,0.0,
CREMA FACIAL,,CREMA FACIAL,0.0,0.0,2500.0,0.0,,,,0.0,
CREMA FACIAL ACLARANTE,,CREMA FACIAL ACLARANTE,0.0,0.0,2500.0,0.0,,,,0.0,
,,CREMA FACIAL CHICA,0.0,0.0,2000.0,0.0,,,,0.0,
,,CREMA PIES,1.0,0.0,1500.0,0.0,,,,0.0,
CREYON PERM 2,,CREYON,24.0,173.0,850.0,0.0,,,,173.0,
CREYON,,CREYON 1,2.0,146.0,450.0,0.0,,,,28.26,
CREYON 1,,CREYON 2,10.0,0.0,650.0,0.0,,,,0.0,
,,CREYON 3,2.0,0.0,950.0,0.0,,,,0.0,
,,CREYON 4,6.0,0.0,800.0,0.0,,,,0.0,
,,CREYON 7,6.0,0.0,700.0,0.0,,,,0.0,
,,CREYON DIOR,9.0,0.0,1200.0,0.0,,,,0.0,
