Clave,Unidad,Nombre,Cantidad,Costo,Precio,Cantidad Mínima,Precios Adicionales,Información Adicional,Categoría,Costo Promedio,
ABANICO,,ABANICO,3.0,0.0,900.0,0.0,,,,0.0,
,,ADORNO COLGANTE HALLOWEEN,0.0,0.0,3000.0,0.0,,,,0.0,
,,ADORNO HALLOWEEN,0.0,0.0,600.0,0.0,,,,0.0,
ADORNO NAV 1,,ADORNO NAV 1,0.0,0.0,450.0,0.0,,,,0.0,
ADORNO NAV 2,,ADORNO NAV 2,2.0,0.0,500.0,0.0,,,,0.0,
ADORNO NAV 3,,ADORNO NAV 3,0.0,0.0,700.0,0.0,,,,0.0,
ADORNO NAV 4,,ADORNO NAV 4,20.0,0.0,800.0,0.0,,,,0.0,
ADORNO NAV GRANDE,,ADORNO NAV GRANDE,0.0,0.0,550.0,0.0,,,,0.0,
ADORNO NAV PAQUETE,,ADORNO NAV PAQUETE,18.0,0.0,800.0,0.0,,,,0.0,
ADORNO NAV PUERTA,,ADORNO NAV PUERTA,0.0,0.0,400.0,0.0,,,,0.0,
ADORNOS DE NAVIDAD CHICOS,,ADORNO NAV PUERTA 2,0.0,0.0,500.0,0.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN,0.0,0.0,2500.0,0.0,,,,0.0,
,,ADORNO PUERTA HALLOWEEN 2,0.0,0.0,3000.0,0.0,,,,0.0,
ADORNO SOLAR,,ADORNO SOLAR,0.0,0.0,1500.0,0.0,,,,0.0,
AJUSTADOR,,AJUSTADOR 1,3.0,0.0,1500.0,0.0,,,,0.0,
AJUSTADOR 2,,AJUSTADOR 2,1.0,0.0,1200.0,0.0,,,,0.0,
,,AJUSTADOR SILICONA,1.0,0.0,2500.0,0.0,,,,0.0,
ALFOMBRAS DE NAVIDAD,,ALFOMBRAS DE NAVIDAD,0.0,0.0,1500.0,0.0,,,,0.0,
,,ANILLOS 2,0.0,0.0,1500.0,0.0,,,,0.0,
ANILLOS 4,,ANILLOS 4,0.0,0.0,2000.0,0.0,,,,0.0,
ANILLOS LOVE,,ANILLOS LOVE,0.0,69.0,250.0,0.0,,,,69.0,
,,ANILLOS NIÑA,0.0,0.0,300.0,0.0,,,,0.0,
,,ANILLOS REBAJA,0.0,0.0,500.0,0.0,,,,0.0,
,,APLICADOR OÍDOS,1.0,0.0,2000.0,0.0,,,,0.0,
APLICADORES OÍDOS,,APLICADORES OÍDOS,2.0,0.0,550.0,0.0,,,,0.0,
ARBOLITOS INFLABLES,,ARBOLITOS INFLABLES,0.0,0.0,3000.0,0.0,,,,0.0,
PAR ARETES,,ARETES ACERO 2,11.0,0.0,2200.0,0.0,,,,0.0,
,,ARETES ACERO CHICOS,23.0,0.0,1400.0,0.0,,,,0.0,
,,ARETES ACERO CRUZ,1.0,0.0,2000.0,0.0,,,,0.0,
COQUITOS,,ARETES ACERO REBAJA,6.0,0.0,500.0,0.0,,,,0.0,
,,ARETES DIAMANTE,0.0,0.0,400.0,0.0,,,,0.0,
,,ARETES PERLA,11.0,0.0,300.0,0.0,,,,0.0,
,,ARGOLLAS ACERO,3.0,162.0,2000.0,0.0,,,,162.0,
ARGOLLAS GRANDES 1,,ARGOLLAS GRANDES 1,0.0,0.0,2000.0,0.0,,,,0.0,
ARREGLOS CHICOS,,ARREGLOS CHICOS,0.0,0.0,1500.0,0.0,,,,0.0,
ARREGLOS GRANDES,,ARREGLOS GRANDES,0.0,0.0,3500.0,0.0,,,,0.0,
ARREGLOS MED,,ARREGLOS MED,0.0,0.0,2000.0,0.0,,,,0.0,
AUDÍFONOS,,AUDÍFONOS,0.0,0.0,950.0,0.0,,,,0.0,
AUDÍFONOS GRANDES,,AUDÍFONOS GRANDES,0.0,0.0,2850.0,0.0,,,,0.0,
,,BABY YODA,1.0,0.0,44000.0,0.0,,,,0.0,
,,BABY YODA PELUCHE CHICO,0.0,0.0,7500.0,0.0,,,,0.0,
,,BABY YODA PELUCHE GRANDE,0.0,0.0,10000.0,0.0,,,,0.0,
BASE,,BASE,5.0,0.0,2200.0,0.0,,,,0.0,
BASE 2,,BASE 2,13.0,130.0,750.0,0.0,,,,130.0,
,,BASE PROTECTOR,0.0,0.0,950.0,0.0,,,,0.0,
BILLETERAS 2,,BILLETERAS 2,0.0,778.0,2500.0,0.0,,,,778.0,
,,BLOQUE UÑAS,2.0,0.0,500.0,0.0,,,,0.0,
BLUMER DE M 1,,BLUMER DE M 1,0.0,0.0,550.0,0.0,,,,0.0,
BLUMER DE M 2,,BLUMER DE M 2,0.0,0.0,600.0,0.0,,,,0.0,
BLUMER DE M 3,,BLUMER DE M 3,1.0,0.0,800.0,0.0,,,,0.0,
BLUMER DE M 4,,BLUMER DE M 4,5.0,370.0,1100.0,0.0,,,,185.0,
,,BLUMER HILO,22.0,0.0,1500.0,0.0,,,,0.0,
,,BLUSAS,17.0,0.0,3500.0,0.0,,,,0.0,
,,BLUSAS 2,15.0,0.0,4500.0,0.0,,,,0.0,
,,BLUSAS ENCAJE,6.0,0.0,3500.0,0.0,,,,0.0,
BOCINA,,BOCINA,0.0,0.0,5000.0,0.0,,,,0.0,
BODY TRANSPARENTE,,BODY TRANSPARENTE,0.0,0.0,1800.0,0.0,,,,0.0,
,,BOLA POKEMON,2.0,0.0,1200.0,0.0,,,,0.0,
,,BOLSA MUJER CHICA,0.0,0.0,4500.0,0.0,,,,0.0,
,,BOLSA MUJER MEDIANA,0.0,0.0,3850.0,0.0,,,,0.0,
BOLSA NAV GRANDE,,BOLSA NAV GRANDE,0.0,0.0,600.0,0.0,,,,0.0,
BOLSA REGALO,,BOLSA REGALO,107.0,0.0,150.0,0.0,,,,0.0,
